Назва університету,City,Region,Код спеціальності,Назва спеціальності та освітньої програми,Description-specialty,Вартість навчання
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C2,Політологія,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,D8,Право,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,F1,Прикладна математика,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G9,Прикладна механіка,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E6,Прикладна фізика та наноматеріали,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C4,Психологія,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C4,Психологія,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,D4,Публічне управління та адміністрування,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,F3,Системний аналіз,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,C5,Соціологія,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E8,Статистика,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,G5,Теплоенергетика,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,I7,Терапія та реабілітація,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,K4,Туризм і рекреація,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,E5,Фізика та астрономія,,27000
Дніпровський національний університет імені Олеся Гончара,Дніпро,Дніпропетровська,B10,Філософія,,27000
"Заклад вищої освіти ""Академія рекреаційних технологій і права""",Луцьк,Волинська,D7,"Інформаційна, бібліотечна та архівна справа",,25000
"Заклад вищої освіти ""Академія рекреаційних технологій і права""",Луцьк,Волинська,A4,Середня освіта (Фізична культура),,25000
"Заклад вищої освіти ""Академія рекреаційних технологій і права""",Луцьк,Волинська,D2,"Фінанси, банківська справа, страхування та фондовий ринок",,25000
"Заклад вищої освіти ""Академія рекреаційних технологій і права""",Луцьк,Волинська,D8,Право,,30000
Запорізький національний університет,Запоріжжя,Запорізька,F7,Комп'ютерне моделювання,,72800
Запорізький національний університет,Запоріжжя,Запорізька,E7,Математика,,72800
Запорізький національний університет,Запоріжжя,Запорізька,E5,Прикладна фізика,,72800
Запорізький національний університет,Запоріжжя,Запорізька,A4,Середня освіта (Математика),,72800
Запорізький національний університет,Запоріжжя,Запорізька,A4,Середня освіта (Фізика та астрономія),,72800
Запорізький національний університет,Запоріжжя,Запорізька,A4,Середня освіта (Фізична культура),,72800
Запорізький національний університет,Запоріжжя,Запорізька,A7,Спорт,,81360
Запорізький національний університет,Запоріжжя,Запорізька,A7,Фізичне виховання,,81360
Запорізький національний університет,Запоріжжя,Запорізька,F5,Інформаційні системи та технології,,92240
Запорізький національний університет,Запоріжжя,Запорізька,F5,Кібербезпека та захист інформації,,92240
Запорізький національний університет,Запоріжжя,Запорізька,F3,Комп’ютерні науки,,92240
Запорізький національний університет,Запоріжжя,Запорізька,F2,Програмна інженерія,,92240
Запорізький національний університет,Запоріжжя,Запорізька,I7,"Фізична терапія, ерготерапія",,92240
Західноукраїнський національний університет,Тернопіль,Тернопільська,C1,Економіка,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,F2,Інженерія програмного забезпечення,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,F3,Комп’ютерні науки,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,D5,Маркетинг,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,D3,Менеджмент,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,D8,Право,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,K4,Туризм,,31000
Західноукраїнський національний університет,Тернопіль,Тернопільська,D2,"Фінанси, банківська справа та страхування",,31000
"Івано-Франківський навчально-науковий юридичний інститут Національного університету ""Одеська юридична академія""",Івано-Франківськ,Івано-Франківська,D8,Право,,48600
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,A2,Дошкільна освіта,,22000
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,C1,Економіка,,22000
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,A3,Початкова освіта,,22000
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,C4,Психологія,,22000
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,A4,Середня освіта,,22000
Ізмаїльський державний гуманітарний університет,Ізмаїл,Одеська,B11,Філологія,,22000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,B8,Богословʼя,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,A3,Початкова освіта,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,D8,Право,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,C4,Психологія,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,A4,Середня освіта,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,B10,Філософія,,60000
Карпатський університет імені Августина Волошина,Ужгород,Закарпатська,D2,"Фінанси, банківська справа та страхування",,60000
Київський національний лінгвістичний університет,Київ,Київська,A4,Середня освіта. Англійська мова та зарубіжна література,,56044
Київський національний лінгвістичний університет,Київ,Київська,A4,Середня освіта. Іспанська мова та зарубіжна література,,56044
Київський національний лінгвістичний університет,Київ,Київська,A4,Середня освіта. Німецька мова та зарубіжна література,,56044
Київський національний лінгвістичний університет,Київ,Київська,A4,"Середня освіта. Українська мова і література, англійська мова, зарубіжна література",,56044
Київський національний лінгвістичний університет,Київ,Київська,A4,Середня освіта. Французька мова та зарубіжна література,,56044
Київський національний лінгвістичний університет,Київ,Київська,B11,Філологія. Новогрецька мова і література (переклад включно),,56044
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – арабська",,56044
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – перська",,56044
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – турецька",,56044
Київський національний лінгвістичний університет,Київ,Київська,D5,Маркетинг. Маркетинг і реклама,,66200
Київський національний лінгвістичний університет,Київ,Київська,D3,Менеджмент. Менеджмент комерційної діяльності,,66200
Київський національний лінгвістичний університет,Київ,Київська,C4,Психологія. Практична психологія,,66200
Київський національний лінгвістичний університет,Київ,Київська,K4,Туризм і рекреація. Туристичне обслуговування,,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Германські мови та літератури (переклад включно), перша – англійська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Германські мови та літератури (переклад включно), перша – німецька",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Романські мови та літератури (переклад включно), перша – іспанська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Романські мови та літератури (переклад включно), перша – італійська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Романські мови та літератури (переклад включно), перша – французька",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Слов’янські мови та літератури (переклад включно), перша – польська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Слов’янські мови та літератури (переклад включно), перша – чеська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – китайська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – японська",,66200
Київський національний лінгвістичний університет,Київ,Київська,B11,"Філологія. Східні мови та літератури (переклад включно), перша – корейська",,69900
Київський національний університет будівництва і архітектури,Київ,Київська,K3,Фізична культура і спорт,,18000
Київський національний університет будівництва і архітектури,Київ,Київська,G20,"Гідротехнічне будівництво, водна інженерія та водні технології",,19000
Київський національний університет будівництва і архітектури,Київ,Київська,E2,Екологія,,19000
Київський національний університет будівництва і архітектури,Київ,Київська,G18,Нафтогазова інженерія та технології,,19000
Київський національний університет будівництва і архітектури,Київ,Київська,G5,Теплоенергетика,,19000
Київський національний університет будівництва і архітектури,Київ,Київська,G2,Технології захисту навколишнього середовища,,19000
Київський національний університет будівництва і архітектури,Київ,Київська,G7,"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G11,Галузеве машинобудування,,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G5,Гідроенергетика,,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G4,"Електроенергетика, електротехніка та електромеханіка",,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G9,Прикладна механіка,,20000
Київський національний університет будівництва і архітектури,Київ,Київська,A5,Професійна освіта (Будівництво та зварювання),,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G1,Хімічні технології та інженерія,,20000
Київський національний університет будівництва і архітектури,Київ,Київська,G20,Будівництво та цивільна інженерія,,24000
Київський національний університет будівництва і архітектури,Київ,Київська,G18,Геодезія та землеустрій,,24000
Київський національний університет будівництва і архітектури,Київ,Київська,B4,"Образотворче мистецтво, декоративне мистецтво, реставрація",,24000
Київський національний університет будівництва і архітектури,Київ,Київська,B2,Дизайн,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,C1,Економіка,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,F5,Інформаційні системи та технології,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,F5,Кібербезпека,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,F7,Комп’ютерна інженерія,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,F3,Комп’ютерні науки,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D5,Маркетинг,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D3,Менеджмент,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D1,Облік і оподаткування,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D3,"Підприємництво, торгівля та біржова діяльність",,29000
Київський національний університет будівництва і архітектури,Київ,Київська,C2,Політологія,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D8,Право,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,D4,Публічне управління та адміністрування,,29000
Київський національний університет будівництва і архітектури,Київ,Київська,G17,Архітектура та містобудування,,33000
Київський національний університет імені Тараса Шевченка,Київ,Київська,E1,Біологія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,G21,Біотехнології та біоінженерія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E2,Географія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E2,Екологія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,G6,Електроніка,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E7,Математика,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E4,Науки про Землю,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E6,Прикладна фізика та наноматеріали,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,H3,Садово-паркове господарство,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,A4,Середня освіта. Українська мова і література,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,I7,Соціальна робота,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E8,Статистика,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E5,Фізика та астрономія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,E3,Хімія,,38100
Київський національний університет імені Тараса Шевченка,Київ,Київська,G18,Геодезія та землеустрій,,43300
Київський національний університет імені Тараса Шевченка,Київ,Київська,F1,Прикладна математика,,43300
Київський національний університет імені Тараса Шевченка,Київ,Київська,F3,Системний аналіз,,43300
Київський національний університет імені Тараса Шевченка,Київ,Київська,G7,Електронні комунікації та радіотехніка,,45500
Київський національний університет імені Тараса Шевченка,Київ,Київська,A4,Середня освіта. Англійська мова та зарубіжна література,,50800
Київський національний університет імені Тараса Шевченка,Київ,Київська,C1,Економіка,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,F2,Інженерія програмного забезпечення,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,F5,Інформаційні системи та технології,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,F5,Кібербезпека,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,F7,Комп’ютерна інженерія,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,F3,Комп’ютерні науки,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,D1,Облік і оподаткування,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,C2,Політологія,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,C4,Психологія,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,C5,Соціологія,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,I4,Технології медичної діагностики та лікування,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,K4,Туризм і рекреація,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,B11,Філологія. Українська мова і література,,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,D2,"Фінанси, банківська справа та страхування",,50900
Київський національний університет імені Тараса Шевченка,Київ,Київська,D5,Маркетинг,,54000
Київський національний університет імені Тараса Шевченка,Київ,Київська,D3,Менеджмент,,54000
Київський національний університет імені Тараса Шевченка,Київ,Київська,C7,Журналістика,,58900
Київський національний університет імені Тараса Шевченка,Київ,Київська,B11,"Філологія. Германські мови та літератури (переклад включно), перша – англійська",,59400
Київський національний університет імені Тараса Шевченка,Київ,Київська,B11,"Філологія. Романські мови та літератури (переклад включно), перша – іспанська",,59400
Київський національний університет імені Тараса Шевченка,Київ,Київська,D8,Право,,66600
Київський національний університет імені Тараса Шевченка,Київ,Київська,D8,Міжнародне право,,76600
Київський національний університет імені Тараса Шевченка,Київ,Київська,C3,"Міжнародні відносини, суспільні комунікації та регіональні студії",,76600
Київський національний університет імені Тараса Шевченка,Київ,Київська,C1,Міжнародні економічні відносини,,76600
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Кінознавство,,56620
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Драматургія кіно і телебачення,,59600
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Організація кінотелевиробництва,,59600
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Організація театральної справи,,59600
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Театрознавство,,59600
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Звукорежисура,,62580
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Кінооператорство,,62580
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Режисура театру ляльок,,62580
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Сценографія театру ляльок,,62580
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Режисура ігрового кіно,,63560
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Акторське мистецтво театру ляльок,,64070
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Режисура драматичного театру,,64070
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B5,Акторське мистецтво театру і кіно,,67060
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Майстерність диктора та ведучого програм телебачення,,67060
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Режисура анімаційного фільму,,67060
"Київський національний університет театру, кіно і телебачення імені І.К. Карпенка-Карого",Київ,Київська,B1,Режисура телебачення,,67060
Київський національний університет технологій та дизайну,Київ,Київська,E6,Прикладна фізика та наноматеріали,,18000
Київський національний університет технологій та дизайну,Київ,Київська,G7,"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",,20000
Київський національний університет технологій та дизайну,Київ,Київська,G21,Біотехнології та біоінженерія,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G11,Галузеве машинобудування,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G4,"Електроенергетика, електротехніка та електромеханіка. Електромеханіка",,20000
Київський національний університет технологій та дизайну,Київ,Київська,B12,Культурологія. Візуальне мистецтво та менеджмент культурних проєктів,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G9,Прикладна механіка,,20000
Київський національний університет технологій та дизайну,Київ,Київська,A5,Професійна освіта. Технологія виробів легкої промисловості,,20000
Київський національний університет технологій та дизайну,Київ,Київська,A4,Середня освіта. Українська мова і література та англійські філологічні студії,,20000
Київський національний університет технологій та дизайну,Київ,Київська,I10,Соціальна робота та консультування,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G2,Технології захисту навколишнього середовища,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G15,Технології легкої промисловості,,20000
Київський національний університет технологій та дизайну,Київ,Київська,K3,Фізична культура і спорт,,20000
Київський національний університет технологій та дизайну,Київ,Київська,G1,Хімічні технології та інженерія,,20000
Київський національний університет технологій та дизайну,Київ,Київська,J2,Готельно-ресторанна справа та кейтеринг,,25000
Київський національний університет технологій та дизайну,Київ,Київська,D4,Публічне управління та адміністрування,,25000
Київський національний університет технологій та дизайну,Київ,Київська,K4,Туризм та рекреація,,25000
Київський національний університет технологій та дизайну,Київ,Київська,C1,Економіка. Економіка міжнародного бізнесу / SMART-економіка,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F2,Інженерія програмного забезпечення,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F5,Інформаційні системи та технології. Управління ІТ-проєктами,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F5,Кібербезпека. Інженерія кібербезпеки,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F7,Комп’ютерна інженерія,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F3,Комп’ютерні науки,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D5,Маркетинг,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D3,Менеджмент,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D3,Менеджмент соціокультурної діяльності,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D1,Облік і оподаткування,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D3,"Підприємництво, торгівля та біржова діяльність. Підприємництво та митно-логістична діяльність / Підприємництво та комерційна діяльність",,27700
Київський національний університет технологій та дизайну,Київ,Київська,C2,Політологія. Політологія та публічні комунікації,,27700
Київський національний університет технологій та дизайну,Київ,Київська,D8,Право. Господарсько-правова діяльність,,27700
Київський національний університет технологій та дизайну,Київ,Київська,C4,Психологія,,27700
Київський національний університет технологій та дизайну,Київ,Київська,F3,Системний аналіз. Системний аналіз і управління,,27700
Київський національний університет технологій та дизайну,Київ,Київська,C5,Соціологія. Соціальні комунікації,,27700
Київський національний університет технологій та дизайну,Київ,Київська,B11,"Філологія. Германські мови та літератури (переклад включно), перша – англійська. Англійська мова: переклад в бізнес-комунікаціях",,27700
Київський національний університет технологій та дизайну,Київ,Київська,D2,"Фінанси, банківська справа та страхування",,27700
Київський національний університет технологій та дизайну,Київ,Київська,B2,"Образотворче мистецтво, декоративне мистецтво, реставрація. Цифрове мистецтво",,28000
Київський національний університет технологій та дизайну,Київ,Київська,B5,Сценічне мистецтво. Акторська майстерність та продюсування,,28000
Київський національний університет технологій та дизайну,Київ,Київська,B2,Дизайн. Графічний дизайн / Мультимедійний дизайн,,30000
Київський національний університет технологій та дизайну,Київ,Київська,B2,Дизайн. Дизайн одягу (взуття),,30000
Київський національний університет технологій та дизайну,Київ,Київська,B2,Дизайн. Дизайн середовища,,30000
Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Кременець,Тернопільська,A2,Дошкільна освіта,,24000
Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Кременець,Тернопільська,A3,Початкова освіта,,24000
Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Кременець,Тернопільська,A4,Середня освіта,,24000
Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка,Кременець,Тернопільська,I7,Соціальна робота,,24000
Кременчуцький льотний коледж Харківського національного університету внутрішніх справ,Кременчук,Полтавська,D3,Менеджмент,,16000
Кременчуцький льотний коледж Харківського національного університету внутрішніх справ,Кременчук,Полтавська,G6,Авіоніка,,20000
Кременчуцький льотний коледж Харківського національного університету внутрішніх справ,Кременчук,Полтавська,G4,"Електроенергетика, електротехніка та електромеханіка",,20000
Кременчуцький льотний коледж Харківського національного університету внутрішніх справ,Кременчук,Полтавська,K7,Оператор безпілотних літальних апаратів,,20000
